lumen_wall lumen_outlet lumen_inlet 
4.50519756 1.91993371 1.85227150 
4.50519749 1.91993361 1.85227150 
4.50519742 1.91993351 1.85227150 
4.50519736 1.91993341 1.85227150 
4.50519730 1.91993333 1.85227150 
4.50519725 1.91993325 1.85227150 
4.50519720 1.91993317 1.85227150 
4.50519715 1.91993310 1.85227150 
4.50519711 1.91993304 1.85227150 
4.50519707 1.91993297 1.85227150 
4.50519703 1.91993292 1.85227150 
4.50519699 1.91993287 1.85227150 
4.50519696 1.91993282 1.85227150 
4.50519693 1.91993277 1.85227150 
4.50519690 1.91993273 1.85227150 
4.50519688 1.91993269 1.85227150 
4.50519685 1.91993265 1.85227150 
4.50519683 1.91993262 1.85227150 
4.50519681 1.91993259 1.85227150 
4.50519679 1.91993256 1.85227150 
4.50519677 1.91993253 1.85227150 
4.50519675 1.91993250 1.85227150 
4.50519673 1.91993248 1.85227150 
4.50519672 1.91993246 1.85227150 
