lumen_wall lumen_outlet lumen_inlet 
4.57667865 2.21585595 2.21585595 

0.00000000 1.164000E2 -9.70000E1 
0.00000000 9.312126E1 -9.70000E1 
0.00000000 9.777566E1 -9.70000E1 
0.00000000 9.684522E1 -9.70000E1 
0.00000000 9.703116E1 -9.70000E1 
0.00000000 9.699385E1 -9.70000E1 
0.00000000 9.700120E1 -9.70000E1 
0.00000000 9.699983E1 -9.70000E1 
0.00000000 9.700002E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699998E1 -9.70000E1 
0.00000000 9.699998E1 -9.70000E1 
0.00000000 9.699997E1 -9.70000E1 
0.00000000 9.699997E1 -9.70000E1 
0.00000000 9.699998E1 -9.70000E1 
0.00000000 9.699998E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699997E1 -9.70000E1 
0.00000000 9.699998E1 -9.70000E1 
0.00000000 9.699998E1 -9.70000E1 
0.00000000 9.699998E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699996E1 -9.70000E1 
0.00000000 9.699989E1 -9.70000E1 
0.00000000 9.699984E1 -9.70000E1 
0.00000000 9.699986E1 -9.70000E1 
0.00000000 9.699986E1 -9.70000E1 
0.00000000 9.699989E1 -9.70000E1 
0.00000000 9.699990E1 -9.70000E1 
0.00000000 9.699991E1 -9.70000E1 
0.00000000 9.699992E1 -9.70000E1 
0.00000000 9.699993E1 -9.70000E1 
0.00000000 9.699995E1 -9.70000E1 
0.00000000 9.699997E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.700001E1 -9.70000E1 
0.00000000 9.700002E1 -9.70000E1 
0.00000000 9.700004E1 -9.70000E1 
0.00000000 9.700002E1 -9.70000E1 
0.00000000 9.700003E1 -9.70000E1 
0.00000000 9.700003E1 -9.70000E1 
0.00000000 9.700003E1 -9.70000E1 
0.00000000 9.700003E1 -9.70000E1 
0.00000000 9.700003E1 -9.70000E1 
0.00000000 9.700002E1 -9.70000E1 
0.00000000 9.700002E1 -9.70000E1 
0.00000000 9.700002E1 -9.70000E1 
0.00000000 9.700002E1 -9.70000E1 
0.00000000 9.700002E1 -9.70000E1 
0.00000000 9.700001E1 -9.70000E1 
0.00000000 9.700001E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699998E1 -9.70000E1 
0.00000000 9.699998E1 -9.70000E1 
0.00000000 9.699998E1 -9.70000E1 
0.00000000 9.699998E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699998E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.700000E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
0.00000000 9.699999E1 -9.70000E1 
