---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 HS 1-1  7.000e-03  [0 1.000e+00 1.000e+00 8.747e-13]  [241 0 57]
 HS 1-2  1.000e-02  [-240 8.921e-13 8.921e-13 5.724e-01]  [3 0 0]
 HS 2-1  1.700e-02  [0 1.000e+00 5.000e-01 9.808e-13]  [241 0 57]
 HS 2-2s 2.100e-02  [-239 1.006e-12 5.030e-13 1.000e+00]  [0 0 0]
