---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 ST 13-3  1.855e+02  [-55 1.769e-03 4.201e-03 3.398e-02]  !2550 0 96!
 ST 13-4  1.888e+02  [-79 1.102e-04 2.617e-04 7.168e-02]  !2550 0 96!
 ST 13-5  1.922e+02  [-101 8.687e-06 2.063e-05 1.007e-01]  !2550 0 95!
 ST 14-1  1.955e+02  [0 1.000e+00 1.968e+00 1.568e-03]  !2550 0 96!
 ST 14-2  1.988e+02  [-20 9.200e-02 1.811e-01 3.640e-03]  !2550 0 96!
 ST 14-3  2.022e+02  [-50 2.904e-03 5.716e-03 2.287e-02]  !2550 0 95!
 ST 14-4  2.056e+02  [-80 9.164e-05 1.804e-04 1.238e-01]  !2550 0 96!
 ST 15-1  2.089e+02  [0 1.000e+00 1.739e+00 1.646e-03]  !2550 0 96!
 ST 15-2  2.123e+02  [-26 4.906e-02 8.534e-02 7.226e-03]  !2550 0 96!
 ST 15-3  2.157e+02  [-57 1.329e-03 2.311e-03 4.469e-02]  !2550 0 96!
 ST 15-4  2.191e+02  [-80 9.101e-05 1.583e-04 6.648e-02]  !2550 -1 96!
 ST 16-1  2.224e+02  [0 1.000e+00 1.729e+00 1.724e-03]  !2550 0 96!
 ST 16-2  2.258e+02  [-24 5.673e-02 9.807e-02 6.446e-03]  !2550 0 96!
 ST 16-3  2.292e+02  [-56 1.425e-03 2.464e-03 4.794e-02]  !2550 0 96!
 ST 16-4  2.326e+02  [-80 9.898e-05 1.711e-04 8.778e-02]  !2550 0 94!
 ST 17-1  2.360e+02  [0 1.000e+00 1.340e+00 2.028e-03]  !2550 0 96!
 ST 17-2  2.394e+02  [-25 5.353e-02 7.171e-02 7.729e-03]  !2550 0 96!
 ST 17-3  2.428e+02  [-56 1.565e-03 2.096e-03 3.868e-02]  !2550 0 95!
 ST 17-4  2.462e+02  [-80 9.693e-05 1.299e-04 6.516e-02]  !2550 0 96!
 ST 18-1  2.495e+02  [0 1.000e+00 1.160e+00 2.376e-03]  !2550 0 96!
 ST 18-2  2.529e+02  [-23 6.737e-02 7.813e-02 7.532e-03]  !2550 0 96!
 ST 18-3  2.563e+02  [-56 1.556e-03 1.804e-03 5.369e-02]  !2550 0 94!
 ST 18-4  2.597e+02  [-78 1.198e-04 1.390e-04 7.644e-02]  !2550 0 96!
 ST 18-5  2.631e+02  [-100 9.659e-06 1.120e-05 8.850e-02]  !2550 0 96!
 ST 19-1  2.664e+02  [0 1.000e+00 9.255e-01 3.411e-03]  !2550 0 96!
 ST 19-2  2.698e+02  [-23 6.691e-02 6.193e-02 1.101e-02]  !2550 0 96!
 ST 19-3  2.732e+02  [-52 2.398e-03 2.219e-03 4.225e-02]  !2550 0 94!
 ST 19-4  2.766e+02  [-74 1.964e-04 1.818e-04 7.311e-02]  !2550 0 96!
 ST 19-5  2.800e+02  [-96 1.475e-05 1.365e-05 1.332e-01]  !2550 0 96!
 ST 20-1  2.835e+02  [0 1.000e+00 8.701e-01 3.313e-03]  !2550 0 96!
 ST 20-2  2.869e+02  [-23 6.405e-02 5.573e-02 1.253e-02]  !2550 0 96!
 ST 20-3  2.903e+02  [-53 2.183e-03 1.899e-03 6.705e-02]  !2550 0 94!
